Page,Visitors,Total
"/",730,3211
"/admin",170,591
"/login",87,144
"/admin/news",86,272
"/player",85,139
"/news",78,287
"/admin/users",66,159
"/schedule",65,182
"/noticias",64,134
"/videos",55,107
"/reels",54,122
"/team",54,152
"/admin/stations",50,131
"/+13054568952",46,58
"/programas",44,83
"/admin/settings",37,69
"/admin/analytics",36,73
"/admin/team",35,77
"/chat",34,68
"/admin/promotions",33,94
"/horario",32,43
"/noticias/maria-elvira-salazar-exige-fin-a-las-migajas-para-cuba-y-apuesta-por-una-postura-firme-de-ee-uu",32,45
"/podcasts",31,68
"/equipo",30,64
"/services",27,65
"/admin/profile",26,38
"/admin/reels",22,50
"/admin/videos",22,78
"/gallery",22,61
"/programs",22,30
"/admin/pages",21,60
"/admin/podcasts",21,57
"/live-chat",21,126
"/programa/acompaname-tonight",21,34
"/news/f6eaa75f-a742-423b-87e6-f6db9510ac47",20,23
"/admin/activity",19,52
"/admin/gallery",19,39
"/news/el-puente-del-futuro-de-miami-de-sueuo-arquitectonico-a-pesadilla-legal-y-financiera",17,24
"/team/a6812aec-3453-4e4c-875e-d9cde4b616fb",17,33
"/emisora",16,26
"/noticias/091faac6-4b34-4cb6-b1c9-4a80f254e047",16,24
"/station",15,32
"/+",14,19
"/admin/sponsors",14,27
"/news/676eee2d-44bf-4367-801d-9fdf1ee8c5fb",14,25
"/news/el-sacerdote-cubano-alberto-reyes-oficiara-dos-misas-clave-en-hialeah-este-domingo",14,19
"/noticias/427749f9-e66c-437b-b904-c7ee880f5f31",14,18
"/noticias/744b674f-44f4-4aee-9c7d-7c56f3f5ce0c",14,19
"/guests",13,21
"/invitados",12,23
"/news/crisis-de-combustible-las-tunas-suspende-la-mayoria-de-salidas-de-omnibus-nacionales",12,16
"/news/florida-mantendra-examenes-de-licencia-de-conducir-en-multiples-idiomas",12,24
"/news/regimen-cubano-autoriza-venta-directa-de-electricidad-generada-por-particulares-y-empresas",11,12
"/noticias/213c2b71-9d22-4200-9a09-025e2b638777",11,22
"/programa/radio-en-vivo",11,18
"/team/ec2f0b34-8156-4702-8f8a-471eb35a0b99",11,13
"/news/85555a86-500d-432e-903d-66d69d602787",10,10
"/news/cuba-restringe-drasticamente-la-venta-de-combustible-solo-gasolina-en-usd-y-limite-de-20-litros",10,11
"/noticias/15d922c0-2936-44ae-a924-3e63219f5e8c",10,11
"/noticias/df8d814e-cc14-43dd-8695-0b296bff3f7a",10,10
"/noticias/donald-trump-vaticina-un-colapso-en-cuba-y-plantea-la-posibilidad-de-un-acuerdo-estrategico",10,14
"/noticias/seccion/internacional",10,17
"/programa/72d66f22-14e5-47d6-98bd-0833e7b77ec0",10,12
"/servicios",10,11
"/shows/radio-en-vivo",10,10
"/team/3beab3c6-52aa-4694-9192-85a834116d64",10,20
"/team/e2457119-99cc-4caa-acef-1a4264c2de26",10,12
"/equipo/ec2f0b34-8156-4702-8f8a-471eb35a0b99",9,10
"/noticias/76660521-679f-42b6-8e8e-afa7ad04da36",9,9
"/noticias/tragedia-en-aguas-cubanas-enfrentamiento-armado-deja-cuatro-muertos-y-siete-heridos-en-villa-clara",9,9
"/news/las-nuevas-medidas-de-contingencia-en-cuba-ajustes-drasticos-en-transporte-y-educacion-profundizan-el-desgaste-social",7,54
"/news/regimen-cubano-se-declara-no-amenaza-y-pide-acercamiento-con-eeuu",7,9
"/noticias/bad-bunny-hace-historia-una-semana-de-records-mundiales-desde-los-grammy-hasta-el-super-bowl",7,21
"/noticias/eca26de5-ed20-426b-9177-5f176f913694",7,7
"/noticias/nueva-flotilla-internacional-hacia-cuba-entre-la-ayuda-humanitaria-y-el-escepticismo-politico",7,10
"/search",7,10
"/sorteos",7,10
"/equipo/a6812aec-3453-4e4c-875e-d9cde4b616fb",6,12
"/galeria",6,10
"/news/frente-frio-llego-hoy-a-miami-y-el-sur-de-florida",6,9
"/news/regimen-cubano-cuestiona-ayuda-de-ee-uu-promete-frijoles-mientras-bloquea-el-combustible-",6,11
"/news/trump-organiza-un-halftime-show-alternativo-en-mar-a-lago-para-contrarrestar-la-actuacion-de-bad-bunny-en-el-super-bowl-2026",6,8
"/shows/a7e2cf42-de49-41cb-b785-1ff4318c4c21",6,14
"/team/eunice-rodriguez",6,7
"/acompaname-tonight",5,6
"/admin/giveaways",5,7
"/eventos",5,5
"/news/bad-bunny-hace-historia-en-los-grammy",5,7
"/news/d9ea4682-2a91-4916-bc85-ff0ef619410f",5,9
"/news/deteccion-de-buques-militares-de-ee-uu-cerca-de-aguas-cubanas-intensifica-tension-regional",5,7
"/noticias/antena-florida-celebra-el-vinculo-eterno-con-su-audiencia-este-14-de-febrero",5,9
"/noticias/congresistas-cubanoamericanos-solicitan-a-la-administracion-trump-reactivar-juicio-por-el-derribo-de-avionetas-de-hermanos-al-rescate",5,6
"/podcasts/fd3fffcc-f09f-4798-9033-a4d42ea393bd",5,12
"/programa/el-fogon-show",5,5
"/shows/7fa7cc57-1c94-480d-970c-4a070ae00efa",5,7
"/shows/contacto",5,6
"/team/edc72144-14ce-43a7-b890-123db58f1e8b",5,8
"/team/jose-enrique-garcia-roman",5,7
"/acompaname-tonight/team",4,7
"/buscar",4,4
"/equipo/3beab3c6-52aa-4694-9192-85a834116d64",4,8
"/equipo/8028e845-4329-4aab-b026-4f7abf91d042",4,10
"/invitado/vladimir-gomez",4,8
"/news/2a4ebf73-26bb-4bd5-b1b1-f23a0e3ab9f4",4,5
"/news/crisis-energetica-en-cuba-obliga-al-cierre-de-hoteles-y-a-la-compactacion-del-turismo",4,6
"/news/section/internacional",4,7
"/noticias/26b7eaaf-6700-4862-9033-b180f1d8b494",4,4
"/noticias/carlos-gimenez-advierte-que-la-dictadura-cubana-no-sobrevivira-ante-la-presion-de-estados-unidos",4,5
"/noticias/rusia-alerta-sobre-la-presencia-de-un-globo-estratosferico-cerca-de-su-espacio-aereo",4,5
"/noticias/seccion/cultura",4,4
"/noticias/seccion/m%C3%BAsica",4,12
"/programa/el-parrandero-de-cuba",4,6
"/programa/tardes-con-eunice",4,8
"/shows/2fc3bdc2-e7f1-4254-a917-7cea66204cf8",4,8
"/team/yfrain-jesus-villazon",4,4
"/%2013054568952",3,3
"/acompaname-tonight/schedule",3,3
"/el-fogon-show",3,4
"/equipo/34286038-9b0c-404d-9ad9-b319e604c921",3,4
"/equipo/edc72144-14ce-43a7-b890-123db58f1e8b",3,4
"/equipo/eunice-rodriguez",3,3
"/equipo/julio",3,4
"/news/section/cuba",3,4
"/news/section/infraestructura%20y%20ciudad",3,4
"/news/venezuela-383-excarcelaciones-registradas-en-medio-del-debate-clave-por-ley-de-amnistia",3,3
"/noticias/2ffd448c-c156-414a-8f3f-b4a7730e2d77",3,6
"/noticias/3ba0db20-bc39-4897-850d-8ae780c1f055",3,3
"/noticias/7116cac2-3a83-45a7-a4dc-7c1846557444",3,3
"/noticias/apple-anuncia-evento-para-el-4-de-marzo-nuevos-macs-ipads-y-un-iphone-economico-en-el-horizonte",3,3
"/noticias/cuba-denuncia-infiltracion-armada-y-revela-nombres-de-implicados-en-incidente-de-cayo-falcones",3,3
"/noticias/florida-inicia-investigacion-tras-el-hallazgo-de-cuatro-personas-a-bordo-de-una-lancha",3,3
"/noticias/modelo-colombiana-valentina-forero-se-declara-culpable-de-lavar-millones-de-dolares-en-ee-uu",3,10
"/noticias/seis-trabajadores-hospitalizados-tras-grave-accidente-en-la-construccion-del-puente-i-395-en-miami",3,5
"/noticias/tesla-anuncia-el-fin-de-una-era-los-model-s-y-model-x-se-venderan-solo-hasta-agotar-existencias",3,7
"/noticias/vocero-del-regimen-cubano-compara-el-apoyo-a-donald-trump-con-el-nazismo",3,4
"/programa/contacto",3,3
"/programa/el-cafe-de-la-mauana",3,3
"/programas/2fc3bdc2-e7f1-4254-a917-7cea66204cf8",3,3
"/shows/2a060508-3ba6-47df-9d84-dde9ba2aa3c9",3,5
"/shows/acompaname-tonight",3,4
"/shows/el-fogon-show",3,3
"/sponsors",3,4
"/+/team",2,2
"/admin/comments",2,4
"/demo",2,8
"/equipo/:id",2,4
"/equipo/alejandro-socorro",2,4
"/equipo/fedro",2,3
"/equipo/hilda-rabilero",2,4
"/equipo/leonel-vicent",2,2
"/equipo/roylan-pardo-gallardo",2,2
"/equipo/yfrain-jesus-villazon",2,3
"/news/-miami-en-alerta-ante-posible-cambio-politico-en-cuba",2,2
"/news/64e98754-26cf-4a2c-9ffc-c9066080ba98",2,2
"/news/beca-mext-en-cuba-oportunidad-unica-para-formacion-profesional-en-japon-plazo-cierra-en-dias",2,2
"/news/crisis-de-combustible-en-cuba-obliga-a-aerolineas-rusas-y-europeas-a-reprogramar-vuelos",2,2
"/news/cuba-enfrenta-apagones-y-escasez-en-medio-de-crisis-energetica",2,4
"/news/d9d018ef-e426-4b06-a249-641fc7f409a6",2,6
"/news/donald-trump-critica-duramente-espectaculo-de-medio-tiempo-y-exige-cambios-a-la-nfl",2,2
"/news/el4tico-y-la-disonancia-moral-detenciones-acentuan-la-critica-al-regimen-cubano",2,3
"/news/etoman-examenes-de-licencia-en-varios-idiomas-en-florida",2,6
"/news/lanzamiento-de-trumprx-la-plataforma-gubernamental-que-busca-reducir-drasticamente-el-costo-de-los-medicamentos",2,2
"/news/miami-en-el-ojo-del-huracan-vial-realmente-tiene-los-peores-conductores-de-estados-unidos",2,2
"/news/section/miami",2,2
"/news/section/pol%C3%ADtica%20internacional",2,8
"/noticias/469fed49-579d-491f-a179-787de490b03a",2,2
"/noticias/88c42339-5186-4014-b114-9d31c05441b1",2,6
"/noticias/controlado-incendio-en-la-refineria-nico-lopez-de-la-habana-no-se-reportan-danos-humanos",2,3
"/noticias/controversia-en-canaleta-minint-califica-de-incidente-lo-que-testigos-denuncian-como-un-violento-motin",2,2
"/noticias/crisis-en-cuba-familia-en-holguin-obligada-a-despedir-a-un-ser-querido-en-una-caja-de-carton",2,4
"/noticias/crisis-en-prision-de-ciego-de-avila-reclusos-claman-patria-y-vida-ante-hambre-extrema-y-abusos",2,2
"/noticias/cuba-condenan-a-10-anos-de-prision-a-un-profesor-por-escribir-consignas-criticas-con-un-marcador",2,3
"/noticias/dia-mundial-de-la-radio-la-voz-inagotable-que-conecta-al-mundo",2,3
"/noticias/ee-uu-despliega-avion-de-inteligencia-electronica-frente-a-las-costas-de-cuba",2,3
"/noticias/fae18b34-cf40-4e81-bfa5-4997d5ba5617",2,4
"/noticias/gloria-estefan-y-el-debate-sobre-cuba-es-la-presion-petrolera-la-clave-para-un-cambio-politico",2,3
"/noticias/seccion/clima",2,3
"/noticias/seccion/judicial",2,4
"/noticias/seccion/negocios",2,2
"/noticias/seccion/pol%C3%ADtica",2,6
"/noticias/seccion/pol%C3%ADtica-internacional",2,2
"/noticias/solidaridad-frente-a-la-carestia-iglesias-asumen-el-rol-del-estado-en-la-atencion-a-adultos-mayores",2,2
"/noticias/trump-envia-al-secretario-de-energia-a-caracas-un-giro-historico-en-el-mercado-petrolero-regional",2,3
"/podcasts/ef170519-d2d9-46b6-af6b-96502f618d44",2,5
"/programa/f0a148e4-5aa3-48cf-b400-11d4241f3924",2,3
"/programa/la-hora-politica",2,4
"/programa/la-vitrola",2,2
"/shows",2,2
"/shows/6032cb56-e40c-4dc2-bca9-7d7b366bfd03",2,4
"/shows/72d66f22-14e5-47d6-98bd-0833e7b77ec0",2,2
"/shows/el-cafe-de-la-mauana",2,2
"/sitemap",2,3
"/team/hilda-rabilero",2,2
"/a5f87fc7-c459-4b7f-8618-e7790b263e5f",1,1
"/acompaname-tonight/gallery",1,1
"/acompaname-tonight/messages",1,1
"/el-fogon-show/messages",1,1
"/el-fogon-show/podcasts",1,1
"/el-fogon-show/reels",1,1
"/el-fogon-show/team",1,1
"/equipo/e2457119-99cc-4caa-acef-1a4264c2de26",1,1
"/equipo/jose-enrique-garcia-roman",1,1
"/faq",1,1
"/giveaways",1,1
"/invitado/Tony-Calatayud",1,1
"/invitado/vladimir-gomez/bio",1,2
"/invitado/vladimir-gomez/messages",1,2
"/invitado/vladimir-gomez/programs",1,3
"/news/77a12146-4501-45cf-8efc-03a2be383c3d",1,2
"/news/95c89b78-edbf-427c-afd1-283f95decde4",1,1
"/news/d451a554-61c7-42b1-8cde-b355b1162d30",1,8
"/news/el-regimen-cubano-niega-la-entrada-a-su-propio-pais-a-la-activista-leticia-ramos-herreria",1,3
"/news/frente-frio-llego-hoy-a-miami-y-el-sur-de-florida/related",1,5
"/news/nicaragua-cierra-ruta-migratoria-elimina-el-libre-visado-para-cubanos",1,1
"/news/nicaragua-restablece-visa-obligatoria-para-cubanos-bajo-condicion-de-gratuidad",1,1
"/news/seattle-seahawks-conquistan-el-super-bowl-2026-una-defensa-historica-domina-a-los-patriots",1,4
"/news/section/clima",1,1
"/news/section/deportes",1,1
"/news/section/derechos%20humanos",1,1
"/news/section/di%C3%A1spora%20y%20actualidad",1,1
"/news/section/geopol%C3%ADtica",1,1
"/news/section/m%C3%BAsica%20y%20cultura",1,2
"/news/section/nacional",1,4
"/news/section/pol%C3%ADtica%20y%20cultura",1,1
"/news/tesla-anuncia-el-fin-de-una-era-los-model-s-y-model-x-se-venderan-solo-hasta-agotar-existencias",1,1
"/noticias/1df7de65-65d2-4f8b-9971-49bd98a5f409",1,4
"/noticias/69282b79-0bc0-42b8-bf79-28bc28354cf8",1,2
"/noticias/c69521ac-50a1-4c63-8844-62f34b406fb3",1,1
"/noticias/colision-entre-buques-de-la-armada-de-ee-uu-en-el-caribe-deja-varios-heridos",1,2
"/noticias/congresistas-en-washington-solicitan-el-cese-de-vuelos-y-envios-hacia-cuba",1,1
"/noticias/controlan-incendio-en-la-refineria-nico-lopez-de-la-habana",1,3
"/noticias/costa-rica-insta-a-sus-ciudadanos-a-abandonar-cuba-ante-el-agravamiento-de-la-crisis-interna",1,1
"/noticias/crisis-de-combustible-en-cuba-impacta-vuelos-a-managua-lo-que-deben-saber-los-viajeros",1,2
"/noticias/crisis-energetica-en-cuba-el-deficit-de-1-700-mw-agrava-la-emergencia-electrica-en-la-isla",1,1
"/noticias/ee-uu-activa-estrategia-de-maxima-presion-para-impulsar-una-transicion-politica-en-cuba",1,1
"/noticias/ee-uu-confirma-apoyo-de-inteligencia-en-operativo-contra-el-mencho-en-jalisco",1,1
"/noticias/ee-uu-lanza-advertencia-estrategica-el-caribe-se-convierte-en-terreno-en-disputa-ante-tensiones-regionales",1,1
"/noticias/el-contraste-del-abandono-rusia-repatria-a-miles-de-turistas-mientras-el-pueblo-cubano-permanece-en-la-oscuridad",1,1
"/noticias/ff02f726-f0a2-47b0-a3a8-b8762393ea37",1,1
"/noticias/fin-de-las-misiones-estatales-paises-del-caribe-apuestan-por-la-contratacion-directa-de-medicos-cubanos",1,1
"/noticias/frente-frio-llego-hoy-a-miami-y-el-sur-de-florida",1,1
"/noticias/fuerzas-de-ee-uu-interceptan-el-tanquero-aquila-ii-tras-desafiar-cuarentena-maritima",1,2
"/noticias/miami-se-corona-como-la-nueva-capital-de-los-millonarios-en-ee-uu-un-paraiso-de-contrastes",1,3
"/noticias/nicaragua-endurece-controles-migratorios-cubanos-y-venezolanos-requeriran-visa-consultada",1,1
"/noticias/nuevo-frente-frio-impactara-el-sur-de-florida-recomendaciones-y-pronostico-para-los-proximos-dias",1,1
"/noticias/seccion/servicios%20p%C3%BAblicos",1,1
"/noticias/seccion/sociedad",1,1
"/noticias/seccion/tecnolog%C3%ADa",1,1
"/noticias/tension-en-el-caribe-maniobras-de-marines-estadounidenses-coinciden-con-profunda-crisis-energetica-en-cuba",1,1
"/noticias/trump-abre-las-puertas-al-petroleo-venezolano-gigantes-energeticos-retoman-operaciones",1,1